id,observation_date,observation_time,pos,origin,destination,is_one_way,outbound_travel_stop_over,inbound_travel_stop_over,carrier,outbound_flight_no,inbound_flight_no,outbound_departure_date,outbound_departure_time,outbound_arrival_date,outbound_arrival_time,inbound_departure_date,inbound_departure_time,inbound_arrival_date,inbound_arrival_time,outbound_fare_basis,inbound_fare_basis,outbound_booking_class,inbound_booking_class,price_exc,price_inc,tax,currency,source,price_outbound,price_inbound,is_tax_inc_outin,search_class,outbound_fare_family,inbound_fare_family,outbound_seats,inbound_seats,los,outbound_flight_duration,inbound_flight_duration,outbound_marketing_carrier_list,inbound_marketing_carrier_list,outbound_operating_carrier_list,inbound_operating_carrier_list,reference
1,12/13/23,16:02,MX,PVR,LAX,1,MEX,,DL,"DL9079,DL7992",,11/2/24,6:07,11/2/24,12:27,,,,,"KNWL0NBM,KNWL0NBM",,"E,E",,2779,4666,1887,MXN,Expedia,4666,,1,E,"Basic Economy,Basic Economy",,"0,0",,,440,0,"DL,DL",,"AM,AM",,AS_TEST
2,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA2639,AA2828,AA0820",,11/2/24,11:31,11/2/24,22:00,,,,,"LNN0ADM1,LNN0ADM1,LNN0ADM1",,"L,L,L",,5975,8087,2112,MXN,Expedia,8087,,1,E,ECONOMY,,"0,0,0",,,689,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
3,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA2639,AA2828,AA2265",,11/2/24,11:31,11/3/24,9:20,,,,,"QNN0ADM1,QNN0ADM1,QNN0ADM1",,"Q,Q,Q",,1824,3868,2044,MXN,Expedia,3868,,1,E,ECONOMY,,"0,0,0",,,1429,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
4,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA2639,AA0537,AA2265",,11/2/24,11:31,11/3/24,9:20,,,,,"SNN0ADM1,SNN0ADM1,SNN0ADM1",,"S,S,S",,2606,4682,2076,MXN,Expedia,4682,,1,E,ECONOMY,,"0,0,0",,,1429,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
5,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA2639,AA0826,AA2265",,11/2/24,11:31,11/3/24,9:20,,,,,"QNN0ADM1,QNN0ADM1,QNN0ADM1",,"Q,Q,Q",,1824,3868,2044,MXN,Expedia,3868,,1,E,ECONOMY,,"0,0,0",,,1429,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
6,12/13/23,16:02,MX,PVR,LAX,1,DFW,,AA,"AA2639,AA2978",,11/2/24,11:31,11/3/24,10:54,,,,,"MNN0ADN1,MNN0ADN1",,"M,M",,7973,10165,2192,MXN,Expedia,10165,,1,E,ECONOMY,,"0,0",,,1463,0,"AA,AA",,"AA,AA",,AS_TEST
7,12/13/23,16:02,MX,PVR,LAX,1,DFW,,AA,"AA2639,AA1706",,11/2/24,11:31,11/3/24,14:03,,,,,"MNN0ADN1,MNN0ADN1",,"M,M",,7973,10165,2192,MXN,Expedia,10165,,1,E,ECONOMY,,"0,0",,,1652,0,"AA,AA",,"AA,AA",,AS_TEST
8,12/13/23,16:02,MX,PVR,LAX,1,DFW,,AA,"AA2639,AA1997",,11/2/24,11:31,11/3/24,15:23,,,,,"MNN0ADN1,MNN0ADN1",,"M,M",,7973,10165,2192,MXN,Expedia,10165,,1,E,ECONOMY,,"0,0",,,1732,0,"AA,AA",,"AA,AA",,AS_TEST
9,12/13/23,16:02,MX,PVR,LAX,1,DFW,,AA,"AA2639,AA1676",,11/2/24,11:31,11/2/24,16:23,,,,,"MNN0ADN1,MNN0ADN1",,"M,M",,7973,10165,2192,MXN,Expedia,10165,,1,E,ECONOMY,,"0,0",,,352,0,"AA,AA",,"AA,AA",,AS_TEST
10,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA2639,AA0474,AA2265",,11/2/24,11:31,11/3/24,9:20,,,,,"QNN0ADM1,QNN0ADM1,QNN0ADM1",,"Q,Q,Q",,1824,3868,2044,MXN,Expedia,3868,,1,E,ECONOMY,,"0,0,0",,,1369,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
11,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA1215,AA0826,AA2265",,11/2/24,13:31,11/3/24,9:20,,,,,"QNN0ADM1,QNN0ADM1,QNN0ADM1",,"Q,Q,Q",,1824,3868,2044,MXN,Expedia,3868,,1,E,ECONOMY,,"0,0,0",,,1309,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
12,12/13/23,16:02,MX,PVR,LAX,1,"DFW,PHX",,AA,"AA1215,AA0474,AA2265",,11/2/24,13:31,11/3/24,9:20,,,,,"QNN0ADM1,QNN0ADM1,QNN0ADM1",,"Q,Q,Q",,1824,3868,2044,MXN,Expedia,3868,,1,E,ECONOMY,,"0,0,0",,,1249,0,"AA,AA,AA",,"AA,AA,AA",,AS_TEST
13,12/13/23,16:02,MX,PVR,LAX,1,,,B6,B61064,,11/2/24,13:53,11/2/24,16:16,,,,,SI7AUEL1,,L,,1372,3202,1830,MXN,Expedia,3202,,1,E,ECONOMY,,0,,,203,0,B6,,B6,,AS_TEST
14,12/13/23,16:02,MX,PVR,LAX,1,PHX,,AA,"AA0554,AA2930",,11/2/24,14:00,11/2/24,18:33,,,,,"SNN0ADM1,SNN0ADM1",,"S,S",,2606,4584,1978,MXN,Expedia,4584,,1,E,ECONOMY,,"0,0",,,333,0,"AA,AA",,"AA,AA",,AS_TEST
15,12/13/23,16:02,MX,PVR,LAX,1,,,AA,AA0764,,11/2/24,14:24,11/2/24,16:37,,,,,SNN0ADM1,,S,,2606,4486,1880,MXN,Expedia,4486,,1,E,ECONOMY,,0,,,193,0,AA,,AA,,AS_TEST
16,12/13/23,16:02,MX,PVR,LAX,1,IAH,,UA,"UA1166,UA1972",,11/2/24,14:40,11/2/24,22:00,,,,,"GNA7A9DN,GNA7A9DN",,"G,G",,1563,3499,1936,MXN,Expedia,3499,,1,E,ECONOMY,,"0,0",,,500,0,"UA,UA",,"UA,UA",,AS_TEST
17,12/13/23,16:02,MX,PVR,LAX,1,IAH,,UA,"UA1166,UA2000",,11/2/24,14:40,11/2/24,22:59,,,,,"GNA7A9DN,GNA7A9DN",,"G,G",,1563,3499,1936,MXN,Expedia,3499,,1,E,ECONOMY,,"0,0",,,559,0,"UA,UA",,"UA,UA",,AS_TEST
